id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"marie","Marie","FEMALE","false","12","81","2767",,"11","29","0.07379478347220284","0.5","0.10167873895391003"
"balthasar","Balthasar","MALE","false","10","73","4037",,"10","25","0.055931046253626895","0.49606299212598426","0.10726634465181102"
"franz","Franz von Sickingen","MALE","false","22","219","11402",,"35","73","0.5628830548185391","0.6363636363636364","0.4111474444512505"
"diener","Diener","MALE","false","1","1","13",,"3","3","0","0.3987341772151899","0.05266269578620166"
"ulrich","Ulrich","MALE","false","9","114","6628",,"13","18","0.26191096836258126","0.4632352941176471","0.07140754738797424"
"karl","Kaiser Karl V.","MALE","false","2","29","1553",,"2","2","0","0.3987341772151899","0.03978184352170736"
"renner","Renner","MALE","false","4","23","1657",,"6","7","0.06682027649769585","0.45323741007194246","0.05727665481618798"
"erzbischof","Erzbischof Richard","MALE","false","2","19","663",,"2","2","0.03174603174603175","0.3165829145728643","0.00489972224979878"
"ludwig","Pfalzgraf Ludwig","MALE","false","4","21","513",,"8","14","0.06354326676907322","0.45985401459854014","0.07116927473516348"
"richard","Richard","MALE","false","5","21","941",,"13","20","0.31512203447687315","0.49606299212598426","0.07728491193578116"
"landgraf_philipp","Landgraf Philipp","MALE","false","3","8","100",,"6","12","0.001075268817204301","0.45323741007194246","0.07013515621412209"
"legat","Legat","MALE","false","1","17","1013",,"1","1","0","0.2413793103448276","0.0004161251214593691"
"oecolampadius","Oecolampadius","MALE","false","2","6","179",,"2","2","0","0.35795454545454547","0.014699884146260733"
"dhan","Dhan","MALE","false","1","1","11",,"9","9","0","0.4144736842105263","0.16427265186223808"
"dalberg","Dalberg","MALE","false","1","4","39",,"9","9","0","0.4144736842105263","0.16427265186223808"
"alle_3-7_und_3-8","Alle (III/7–8)","MALE","true","2","11","105",,"10","11","0.0012800819252432153","0.41721854304635764","0.17266941409187517"
"philipp_von_ruedesheim","Rüdesheim","MALE","false","4","24","790",,"13","19","0.009331409331409333","0.42857142857142855","0.19085326540011163"
"schwarzenberg","Schwarzenberg","MALE","false","1","3","24",,"9","9","0","0.4144736842105263","0.16427265186223808"
"tuerkheim","Türkheim","MALE","false","1","1","7",,"9","9","0","0.4144736842105263","0.16427265186223808"
"falkenstein","Falkenstein","MALE","false","1","0","8",,"9","9","0","0.4144736842105263","0.16427265186223808"
"fuerstenberg","Fürstenberg","MALE","false","5","20","356",,"22","32","0.03833728995019317","0.45323741007194246","0.3382515227890259"
"lorch","Lorch","MALE","false","1","2","19",,"9","9","0","0.4144736842105263","0.16427265186223808"
"geheimschreiber","Geheimschreiber","MALE","false","1","2","56",,"2","2","0","0.3181818181818182","0.006605232003222447"
"ritter","Ritter","MALE","false","1","14","866",,"2","2","0","0.3181818181818182","0.006605232003222447"
"eitelfritz","Eitelfritz","MALE","false","5","20","368",,"16","28","0.017958385700321187","0.4405594405594406","0.24746734700709225"
"hartmuth","Hartmuth","MALE","false","1","4","41",,"4","4","0","0.3247422680412371","0.08148721519866922"
"alle_4-2_bis_4-4","Alle (IV/2–4)","MALE","true","3","6","36",,"9","13","0.008238296947974363","0.42","0.14875909319258554"
"frowin","Frowin von Hutten","MALE","false","3","16","349",,"13","19","0.007517572033701069","0.42567567567567566","0.22502484934642816"
"ein_lanzknecht_4-3","Ein Lanzknecht (IV/3)","MALE","false","1","1","14",,"4","4","0","0.4012738853503185","0.09729412158372945"
"herold_4-4","Herold (IV/4)","MALE","false","1","5","223",,"5","5","0","0.4090909090909091","0.09067186190753768"
"hauptmann_joerg","Hauptmann Jörg","MALE","false","2","6","464",,"9","11","0.002321215224441031","0.42","0.16154121353789747"
"sombreff","Sombreff","MALE","false","2","8","119",,"8","8","0.035867119738087476","0.44366197183098594","0.09873385242226347"
"erste_frau","Erste Frau","FEMALE","false","1","1","7",,"7","7","0","0.27510917030567683","0.005419305292294791"
"zweite_frau","Zweite Frau","FEMALE","false","1","1","9",,"7","7","0","0.27510917030567683","0.005419305292294791"
"dritte_frau","Dritte Frau","FEMALE","false","1","1","13",,"7","7","0","0.27510917030567683","0.005419305292294791"
"erster_buerger","Erster Bürger","MALE","false","1","1","11",,"7","7","0","0.27510917030567683","0.005419305292294791"
"zweiter_buerger","Zweiter Bürger","MALE","false","1","1","12",,"7","7","0","0.27510917030567683","0.005419305292294791"
"dritter_buerger","Dritter Bürger","MALE","false","2","3","76",,"12","13","0.05017921146953403","0.36416184971098264","0.015321749718341436"
"vierter_buerger","Vierter Bürger","MALE","false","2","3","156",,"8","9","0.04437617340843147","0.3559322033898305","0.011469290722626311"
"viele_andere_mehrere_stimmen_alle_4-5_bis_4-7","Viele/andere/mehrere Stimmen/Alle (IV/5–7)","UNKNOWN","true","3","7","32",,"12","15","0.05017921146953403","0.36416184971098264","0.015321749718341436"
"hauptmann","Hauptmann (IV/7)","MALE","false","1","1","24",,"6","6","0","0.35195530726256985","0.012301730154232745"
"lanzknecht_4-7","Lanzknecht (IV/7)","MALE","false","1","1","14",,"6","6","0","0.35195530726256985","0.012301730154232745"
"ein_soeldner","Ein Söldner","MALE","false","1","1","4",,"6","6","0","0.35195530726256985","0.012301730154232745"
"choral","Choral","MALE","true","1","2","39",,"6","6","0","0.35195530726256985","0.012301730154232745"
"erster_lanzknecht","Erster Lanzknecht","MALE","false","1","1","13",,"3","3","0","0.3298429319371728","0.01579076155985875"
"zweiter_landsknecht","Zweiter Landsknecht","MALE","false","1","1","5",,"3","3","0","0.3298429319371728","0.01579076155985875"
"ein_lanzknecht_4-9","Ein Lanzknecht (IV/9)","MALE","false","1","1","44",,"6","6","0","0.4064516129032258","0.13507011380421108"
"alle_4-9_und_4-10","Alle (IV/9–10)","MALE","true","2","5","40",,"11","15","0.0010240655401945725","0.42","0.2070014986002819"
"lanzknecht_4-10","Lanzknecht (IV/10)","MALE","false","1","1","13",,"9","9","0","0.4144736842105263","0.18378318249478878"
"erster_bote","Erster Bote","MALE","false","1","1","66",,"9","9","0","0.4144736842105263","0.18378318249478878"
"zweiter_bote","Zweiter Bote","MALE","false","1","1","26",,"9","9","0","0.4144736842105263","0.18378318249478878"
"reisiger","Reisiger","MALE","false","1","2","108",,"9","9","0","0.4144736842105263","0.18378318249478878"
"kurt","Kurt","MALE","false","1","6","200",,"9","9","0","0.4144736842105263","0.18378318249478878"
"wirt","Wirt","MALE","false","2","9","84",,"8","13","0.009557945041816","0.3333333333333333","0.012615682522323078"
"jos_fritz","Jos Fritz","MALE","false","2","38","1327",,"8","13","0.009557945041816","0.3333333333333333","0.012615682522323078"
"erster_bauer","Erster Bauer","MALE","false","2","5","92",,"8","13","0.009557945041816","0.3333333333333333","0.012615682522323078"
"zweiter_bauer","Zweiter Bauer","MALE","false","2","3","27",,"8","13","0.009557945041816","0.3333333333333333","0.012615682522323078"
"dritter_bauer","Dritter Bauer","MALE","false","2","5","50",,"8","13","0.009557945041816","0.3333333333333333","0.012615682522323078"
"ein_bauer","Ein Bauer","MALE","false","1","1","4",,"7","7","0","0.2571428571428571","0.007025885760250045"
"vierter_bauer","Vierter Bauer","MALE","false","1","2","10",,"7","7","0","0.2571428571428571","0.007025885760250045"
"einige_andere_mehre_bauern","Einige/andere/mehre Bauern","MALE","true","2","4","25",,"8","13","0.009557945041816","0.3333333333333333","0.012615682522323078"
"ein_knappe","Ein Knappe","MALE","false","1","1","17",,"2","2","0","0.39375","0.04402734543154639"
"arzt","Arzt","MALE","false","1","4","11",,"4","4","0","0.4012738853503185","0.0653078093464097"
"herold_5-9","Herold (V/9)","MALE","false","1","1","32",,"4","4","0","0.4012738853503185","0.0653078093464097"
