#Iago_Oth,#Lodovico_Oth,{}
#Iago_Oth,#Othello_Oth,{}
#Iago_Oth,#Roderigo_Oth,{}
#Iago_Oth,#Cassio_Oth,{}
#Iago_Oth,#Desdemona_Oth,{}
#Iago_Oth,#Emilia_Oth,{}
#Iago_Oth,#Bianca_Oth,{}
#Lodovico_Oth,#Desdemona_Oth,{}
#Lodovico_Oth,#Cassio_Oth,{}
#Lodovico_Oth,#Bianca_Oth,{}
#Lodovico_Oth,#Emilia_Oth,{}
#Lodovico_Oth,#Othello_Oth,{}
#Othello_Oth,#Roderigo_Oth,{}
#Othello_Oth,#Cassio_Oth,{}
#Othello_Oth,#Desdemona_Oth,{}
#Othello_Oth,#Bianca_Oth,{}
#Othello_Oth,#Emilia_Oth,{}
#Roderigo_Oth,#Desdemona_Oth,{}
#Roderigo_Oth,#Emilia_Oth,{}
#Cassio_Oth,#Bianca_Oth,{}
#Cassio_Oth,#Desdemona_Oth,{}
#Desdemona_Oth,#Emilia_Oth,{}
#Desdemona_Oth,#Bianca_Oth,{}
